"Number","Building","Date","Team","Latitude","Longitude","Pictures","Diagram","Priority Index  [%]","Number of  Floors","Roof  Type","First Floor Area  [ft²]","Total Floor Area  [ft²]","Column Area  [ft²]","Ace  [ft²]","Concrete Wall  Area N-S [ft²]","Concrete Wall  Area E-W [ft²]","Masonry Wall  Area N-S [ft²]","Masonry Wall  Area E-W [ft²]","Effective  Wall Area","Wall Index  [%]","Column Index  [%]","Priority Index  [%]","Reinforced  Concrete Damage","Masonry Wall  Damage","Photographer","Permenant  Drift","Captive  Columns","Notes",
"1","A001","26-Jun","A","18° 33' 16.1"" N","72° 18' 12.1"" W","https://nees.org/site/collections/haiti/mainpics/A001.JPG","https://nees.org/site/collections/haiti/Diagrams/A001-Diagram.pdf","0.17","2","Concrete","9661","19321","67","33","0","0","0","102","0","0","0.17","0.17","Severe","Severe","Steeve","N","Y","Pic. 1544 for arch. Detail on E. side/ ~2"" mortar cover on bldg. cols.",
"2","A002","26-Jun","A","18° 33' 15.7"" N","72° 18' 10.7"" W","https://nees.org/site/collections/haiti/mainpics/A002.JPG","https://nees.org/site/collections/haiti/Diagrams/A002-Diagram.pdf","0.17","1","Concrete","6209","6209","22","11","0","0","0","18","0","0","0.17","0.17","Light","Severe","Steeve","N","N","Bldg. workers said that cols. were slighlty damaged and masonry walls were severely damaged.  Majority of damage in masonry walls.",
"3","A003(1)","26-Jun","A","18° 30' 42"" N","72° 17' 14.6"" W","https://nees.org/site/collections/haiti/mainpics/A003.JPG","https://nees.org/site/collections/haiti/Diagrams/A003-Diagram.pdf","0.16","3","Concrete","1785","5354","16","8","0","0","15","4","0","0.01","0.15","0.16","Light","Light","Steeve","N","N","Minimal damage to structure - Bldg. A003-2 right next to structure.",
"4","A003(2)","26-Jun","A","18° 30' 42"" N","72° 17' 14.6"" W","https://nees.org/site/collections/haiti/mainpics/A003.JPG","https://nees.org/site/collections/haiti/Diagrams/A003-Diagram.pdf","0.23","2","Concrete","1667","3333","15","8","0","0","11","0","0","0","0.23","0.23","Light","Light","Steeve","N","N","Minimal damage to structure - Bldg. A003-1 right next to structure.",
"5","A005","26-Jun","A","18° 31' 5.2"" N","72° 16' 56"" W","https://nees.org/site/collections/haiti/mainpics/A005.JPG","https://nees.org/site/collections/haiti/Diagrams/A005-Diagram.pdf","0.19","3","Concrete","1028","3084","8","4","0","0","40","19","2","0.06","0.13","0.19","Severe","Severe","Santiago","N","Y","Buckled bars on second floor south side.",
"6","A006","27-Jun","A","18° 32' 55.1"" N","72° 18' 11.5"" W","https://nees.org/site/collections/haiti/mainpics/A006.JPG","https://nees.org/site/collections/haiti/Diagrams/A006-Diagram.pdf","0.18","2","Concrete","1566","3132","7","3","0","0","24","32","2","0.08","0.11","0.18","Severe","Severe","Steeve","N","N","Severe damage to masonry walls and structure.",
"7","A007","27-Jun","A","18° 32' 56.1"" N","72° 18' 13.9"" W","https://nees.org/site/collections/haiti/mainpics/A007.JPG","https://nees.org/site/collections/haiti/Diagrams/A007-Diagram.pdf","0.14","2","Concrete","2414","4828","8","4","0","0","27","39","3","0.06","0.08","0.14","Moderate","Severe","Steeve","N","N","Could not enter home, so some dimensions are assumed.",
"8","A008","27-Jun","A","18° 32' 55.7"" N","72° 18' 24.6"" W","https://nees.org/site/collections/haiti/mainpics/A008.JPG","https://nees.org/site/collections/haiti/Diagrams/A008-Diagram.pdf","0.24","2","Concrete","8320","16640","69","35","0","0","58","47","5","0.03","0.21","0.24","Severe","Severe","Steeve","N","Y","Windows along all perimeter walls w/o masonry.  Added walls as estimate due to complex interior masonry walls.  Complex masonry walls had many openings .(doors, storage access points).  Original drawing was messy due to confusion about fake exterior columns.",
"9","A009","N/A","A","","","https://nees.org/site/collections/haiti/mainpics/A009.JPG","","","0","N/A","0","0","0","0","0","0","0","0","0","0","0","0","N/A","N/A","N/A","N/A","N/A","Ignored due to complications with calculating roof index.",
"10","A010","27-Jun","A","18° 33' 3.4"" N","72° 18' 29.7"" W","https://nees.org/site/collections/haiti/mainpics/A010.JPG","https://nees.org/site/collections/haiti/Diagrams/A010-Diagram.pdf","0.26","2","Concrete","1830","3659","13","6","0","0","61","33","3","0.09","0.17","0.26","Severe","Severe","Steeve","N","N","One story overhang in front of structure.",
